AIRPORT,Year,Month,DOMESTIC_IN,DOMESTIC_OUT,DOMESTIC_TOTAL,INTERNATIONAL_IN,INTERNATIONAL_OUT,INTERNATIONAL_TOTAL
DARWIN,2000,1,33972,29811,63783,6403,4728,11131
DARWIN,2000,2,27201,26831,54032,5025,4114,9139
DARWIN,2000,3,32183,31415,63598,4930,5206,10136
DARWIN,2000,4,35802,34770,70572,5888,6080,11968
DARWIN,2000,5,40676,37764,78440,5909,6255,12164
DARWIN,2000,6,44145,44100,88245,7096,8097,15193
DARWIN,2000,7,46309,47010,93319,10825,7917,18742
DARWIN,2000,8,47013,48122,95135,8668,8945,17613
DARWIN,2000,9,41137,44505,85642,8258,7395,15653
DARWIN,2000,10,39001,41570,80571,10237,7477,17714
DARWIN,2000,11,33128,33936,67064,8042,7437,15479
DARWIN,2000,12,29701,36482,66183,6632,7932,14564
DARWIN,2001,1,37668,33221,70889,7579,6309,13888
DARWIN,2001,2,26328,26069,52397,5208,4100,9308
DARWIN,2001,3,31618,31164,62782,5582,5356,10938
DARWIN,2001,4,35099,35020,70119,5812,5973,11785
DARWIN,2001,5,39094,38120,77214,6369,6841,13210
DARWIN,2001,6,42266,42017,84283,6381,7015,13396
DARWIN,2001,7,50348,50352,100700,9376,7228,16604
DARWIN,2001,8,44751,47888,92639,7589,8294,15883
DARWIN,2001,9,32519,34879,67398,8149,6220,14369
DARWIN,2001,10,28425,29793,58218,8206,5546,13752
DARWIN,2001,11,26393,28035,54428,5417,5026,10443
DARWIN,2001,12,25025,31654,56679,3401,4646,8047
DARWIN,2002,1,32525,27341,59866,4841,3710,8551
DARWIN,2002,2,25960,26439,52399,3298,3043,6341
DARWIN,2002,3,32474,31955,64429,3936,4230,8166
DARWIN,2002,4,34426,32452,66878,3825,3657,7482
DARWIN,2002,5,39144,37849,76993,3866,4931,8797
DARWIN,2002,6,43022,41172,84194,4271,5062,9333
DARWIN,2002,7,51116,51396,102512,5864,5302,11166
DARWIN,2002,8,46819,49364,96183,5132,5933,11065
DARWIN,2002,9,40838,42045,82883,5459,5258,10717
DARWIN,2002,10,38925,41582,80507,5671,3997,9668
DARWIN,2002,11,31300,32944,64244,2954,3133,6087
DARWIN,2002,12,28244,34759,63003,2446,3392,5838
DARWIN,2003,1,32793,28694,61487,3367,2482,5849
DARWIN,2003,2,25510,25846,51356,2511,2268,4779
DARWIN,2003,3,30025,29855,59880,2755,2796,5551
DARWIN,2003,4,35057,34290,69347,2549,2836,5385
DARWIN,2003,5,38312,37911,76223,2599,3649,6248
DARWIN,2003,6,45471,42770,88241,3097,3856,6953
DARWIN,2003,7,55069,56114,111183,4310,3979,8289
DARWIN,2003,8,47489,51466,98955,3928,4483,8411
DARWIN,2003,9,41892,42978,84870,3360,3171,6531
DARWIN,2003,10,41463,43018,84481,3840,3054,6894
DARWIN,2003,11,33721,35351,69072,3071,2846,5917
DARWIN,2003,12,31724,37340,69064,2889,3994,6883
DARWIN,2004,1,36637,32208,68845,4087,2935,7022
DARWIN,2004,2,29227,29934,59161,2839,2606,5445
DARWIN,2004,3,35292,35298,70590,2851,3260,6111
DARWIN,2004,4,41292,40937,82229,3083,3398,6481
DARWIN,2004,5,45261,44645,89906,3283,3682,6965
DARWIN,2004,6,51459,49519,100978,4205,4952,9157
DARWIN,2004,7,60352,60952,121304,6569,4862,11431
DARWIN,2004,8,55684,59595,115279,4802,5659,10461
DARWIN,2004,9,49382,50233,99615,5459,4725,10184
DARWIN,2004,10,46239,48233,94472,5647,4072,9719
DARWIN,2004,11,38623,40118,78741,3858,3634,7492
DARWIN,2004,12,37488,43234,80722,3202,4704,7906
DARWIN,2005,1,41115,37222,78337,4964,3344,8308
DARWIN,2005,2,31906,31979,63885,3032,2589,5621
DARWIN,2005,3,40237,39953,80190,3167,3603,6770
DARWIN,2005,4,46488,45678,92166,3230,4079,7309
DARWIN,2005,5,48538,47098,95636,4021,4948,8969
DARWIN,2005,6,55001,52171,107172,4080,4965,9045
DARWIN,2005,7,61640,62249,123889,6845,5062,11907
DARWIN,2005,8,56016,59161,115177,5051,6294,11345
DARWIN,2005,9,47555,48204,95759,4992,4440,9432
DARWIN,2005,10,47928,51472,99400,5451,3809,9260
DARWIN,2005,11,38687,39539,78226,3753,3360,7113
DARWIN,2005,12,36731,43982,80713,3850,5453,9303
DARWIN,2006,1,41040,36170,77210,6099,4253,10352
DARWIN,2006,2,30649,31395,62044,3998,3292,7290
DARWIN,2006,3,37486,37595,75081,3935,4330,8265
DARWIN,2006,4,42178,41903,84081,5186,6019,11205
DARWIN,2006,5,51406,49148,100554,4108,5056,9164
DARWIN,2006,6,56457,54333,110790,5072,6746,11818
DARWIN,2006,7,68177,69954,138131,8020,6217,14237
DARWIN,2006,8,62813,66717,129530,5282,6814,12096
DARWIN,2006,9,54167,56936,111103,5412,5265,10677
DARWIN,2006,10,52100,56346,108446,5778,5050,10828
DARWIN,2006,11,47259,48625,95884,4526,4662,9188
DARWIN,2006,12,43111,50354,93465,4081,7627,11708
DARWIN,2007,1,47442,42150,89592,7515,5243,12758
DARWIN,2007,2,36268,37621,73889,4642,3953,8595
DARWIN,2007,3,44612,44752,89364,4423,4765,9188
DARWIN,2007,4,50485,50503,100988,5298,5447,10745
DARWIN,2007,5,58981,55667,114648,5250,5930,11180
DARWIN,2007,6,63885,60543,124428,5435,7582,13017
DARWIN,2007,7,69489,71555,141044,8937,7175,16112
DARWIN,2007,8,64809,69870,134679,6583,7052,13635
DARWIN,2007,9,57855,59840,117695,6963,7056,14019
DARWIN,2007,10,56541,60186,116727,7989,6389,14378
DARWIN,2007,11,49280,50394,99674,5480,5716,11196
DARWIN,2007,12,50793,58463,109256,6344,10152,16496
DARWIN,2008,1,56039,49192,105231,9631,7481,17112
DARWIN,2008,2,44558,45531,90089,7371,5540,12911
DARWIN,2008,3,53648,53006,106654,6686,6378,13064
DARWIN,2008,4,56679,54760,111439,6612,6826,13438
DARWIN,2008,5,62707,60376,123083,6588,7263,13851
DARWIN,2008,6,68335,65067,133402,7624,9407,17031
DARWIN,2008,7,76454,77715,154169,11910,9344,21254
DARWIN,2008,8,69908,72681,142589,8349,8808,17157
DARWIN,2008,9,62577,62661,125238,8733,8474,17207
DARWIN,2008,10,57756,63184,120940,10344,8187,18531
DARWIN,2008,11,49382,51219,100601,5820,5246,11066
DARWIN,2008,12,45280,50601,95881,5677,9538,15215
DARWIN,2009,1,48063,43362,91425,10356,6373,16729
DARWIN,2009,2,36513,38153,74666,6589,4231,10820
DARWIN,2009,3,44423,43605,88028,5113,5276,10389
DARWIN,2009,4,54008,53083,107091,7744,7085,14829
DARWIN,2009,5,59998,58394,118392,8422,8485,16907
DARWIN,2009,6,66180,65174,131354,8809,9617,18426
DARWIN,2009,7,72086,73153,145239,11331,8167,19498
DARWIN,2009,8,65829,68777,134606,9252,9866,19118
DARWIN,2009,9,62026,62687,124713,9437,8716,18153
DARWIN,2009,10,55456,61195,116651,9885,7547,17432
DARWIN,2009,11,48126,49180,97306,8305,7371,15676
DARWIN,2009,12,47587,50893,98480,6700,11065,17765
DARWIN,2010,1,49033,45706,94739,12438,7021,19459
DARWIN,2010,2,40680,42137,82817,7671,5946,13617
DARWIN,2010,3,52040,51606,103646,7223,6848,14071
DARWIN,2010,4,56009,54454,110463,8722,8067,16789
DARWIN,2010,5,59942,58547,118489,8980,8182,17162
DARWIN,2010,6,68101,64828,132929,9032,10053,19085
DARWIN,2010,7,77612,78928,156540,12432,10236,22668
DARWIN,2010,8,71205,73913,145118,9930,10517,20447
DARWIN,2010,9,68599,69156,137755,10104,9608,19712
DARWIN,2010,10,61561,66232,127793,10326,7948,18274
DARWIN,2010,11,51484,52956,104440,8202,7770,15972
DARWIN,2010,12,51494,58703,110197,7376,12373,19749
DARWIN,2011,1,55293,48768,104061,15893,9594,25487
DARWIN,2011,2,38684,40291,78975,9685,8793,18478
DARWIN,2011,3,50909,51066,101975,10698,9766,20464
DARWIN,2011,4,59134,57886,117020,11843,11649,23492
DARWIN,2011,5,61808,59126,120934,12126,10980,23106
DARWIN,2011,6,66655,63831,130486,11490,12875,24365
DARWIN,2011,7,94294,94188,188482,17228,16951,34179
DARWIN,2011,8,82073,86379,168452,14244,16475,30719
DARWIN,2011,9,76464,75476,151940,14384,16426,30810
DARWIN,2011,10,74984,77772,152756,16324,16065,32389
DARWIN,2011,11,66991,67348,134339,14519,16635,31154
DARWIN,2011,12,63483,71878,135361,12214,20078,32292
DARWIN,2012,1,68388,60334,128722,19497,14371,33868
DARWIN,2012,2,53813,55491,109304,13713,12071,25784
DARWIN,2012,3,63537,62277,125814,12657,13290,25947
DARWIN,2012,4,67753,65371,133124,13086,14062,27148
DARWIN,2012,5,68975,67402,136377,12099,12321,24420
DARWIN,2012,6,78831,73034,151865,12603,15897,28500
DARWIN,2012,7,86207,88760,174967,17574,15555,33129
DARWIN,2012,8,77942,81287,159229,13355,14200,27555
DARWIN,2012,9,71178,72489,143667,12534,12692,25226
DARWIN,2012,10,64444,70909,135353,14405,12751,27156
DARWIN,2012,11,59865,63198,123063,11167,12510,23677
DARWIN,2012,12,55534,66863,122397,9045,17259,26304
DARWIN,2013,1,62540,57093,119633,15897,12096,27993
DARWIN,2013,2,46455,51578,98033,11276,10209,21485
DARWIN,2013,3,64627,62391,127018,11665,12739,24404
DARWIN,2013,4,70025,67143,137168,13150,13090,26240
DARWIN,2013,5,69754,66386,136140,11902,12238,24140
DARWIN,2013,6,77202,73766,150968,11490,14233,25723
DARWIN,2013,7,85730,91046,176776,17711,15892,33603
DARWIN,2013,8,78518,86863,165381,14709,16044,30753
DARWIN,2013,9,77078,76640,153718,15175,14947,30122
DARWIN,2013,10,76345,84183,160528,16029,14077,30106
DARWIN,2013,11,62843,66689,129532,12889,13846,26735
DARWIN,2013,12,62425,72740,135165,10761,21152,31913
DARWIN,2014,1,68673,59642,128315,20907,13760,34667
DARWIN,2014,2,51884,54504,106388,12288,10867,23155
DARWIN,2014,3,62953,62152,125105,12264,11944,24208
DARWIN,2014,4,74805,72966,147771,10904,11950,22854
DARWIN,2014,5,74481,73042,147523,11129,12017,23146
DARWIN,2014,6,90436,84191,174627,12073,15491,27564
DARWIN,2014,7,94921,97274,192195,16732,14403,31135
DARWIN,2014,8,87423,91411,178834,14429,15917,30346
DARWIN,2014,9,79779,81259,161038,13861,13879,27740
DARWIN,2014,10,78438,83022,161460,14688,12566,27254
DARWIN,2014,11,66034,68759,134793,10563,11258,21821
DARWIN,2014,12,62920,77493,140413,8816,15964,24780
DARWIN,2015,1,69503,57368,126871,15839,9890,25729
DARWIN,2015,2,52098,53095,105193,10012,8779,18791
DARWIN,2015,3,65149,63427,128576,9928,10166,20094
DARWIN,2015,4,74927,71880,146807,10371,9647,20018
DARWIN,2015,5,76197,73855,150052,10489,10953,21442
DARWIN,2015,6,88982,83047,172029,10295,12773,23068
DARWIN,2015,7,97542,100915,198457,14992,12248,27240
DARWIN,2015,8,85948,91755,177703,11491,12008,23499
DARWIN,2015,9,82773,82494,165267,10797,10482,21279
DARWIN,2015,10,75128,81496,156624,11222,9569,20791
DARWIN,2015,11,67178,68458,135636,9269,9372,18641
DARWIN,2015,12,60543,75501,136044,8199,13996,22195
DARWIN,2016,1,69963,56451,126414,14691,10021,24712
DARWIN,2016,2,53598,54994,108592,9106,7612,16718
DARWIN,2016,3,66369,66209,132578,8824,9100,17924
DARWIN,2016,4,73084,71795,144879,9808,10021,19829
DARWIN,2016,5,77991,74579,152570,10481,11275,21756
DARWIN,2016,6,90624,84174,174798,10734,13149,23883
DARWIN,2016,7,97118,98221,195339,15791,13694,29485
DARWIN,2016,8,86449,93385,179834,12553,12772,25325
DARWIN,2016,9,82167,83178,165345,11777,12080,23857
DARWIN,2016,10,81098,85102,166200,12234,11149,23383
DARWIN,2016,11,69322,70127,139449,9560,9637,19197
DARWIN,2016,12,63916,77790,141706,8924,17076,26000
DARWIN,2017,1,73163,61620,134783,17466,11510,28976
DARWIN,2017,2,53766,54788,108554,10799,7972,18771
DARWIN,2017,3,67319,65572,132891,9524,9890,19414
DARWIN,2017,4,73820,73730,147550,11407,11660,23067
DARWIN,2017,5,77086,72354,149440,10377,10756,21133
DARWIN,2017,6,89615,83613,173228,11386,14142,25528
DARWIN,2017,7,96791,99647,196438,14671,13244,27915
DARWIN,2017,8,90820,93937,184757,11606,12589,24195
DARWIN,2017,9,80377,81831,162208,11525,10651,22176
DARWIN,2017,10,78841,82495,161336,11330,10565,21895
DARWIN,2017,11,68432,70673,139105,9446,9662,19108
DARWIN,2017,12,63841,75420,139261,8449,14230,22679
DARWIN,2018,1,71306,60705,132011,15625,10304,25929
DARWIN,2018,2,52433,53191,105624,8919,7364,16283
DARWIN,2018,3,64602,65239,129841,7718,8106,15824
DARWIN,2018,4,72393,70218,142611,9102,9005,18107
DARWIN,2018,5,76202,74029,150231,7979,8184,16163
DARWIN,2018,6,84518,80484,165002,9976,10931,20907
DARWIN,2018,7,96710,100013,196723,10465,9930,20395
DARWIN,2018,8,86310,91491,177801,10085,10455,20540
DARWIN,2018,9,81111,82002,163113,9327,9011,18338
DARWIN,2018,10,74963,80197,155160,9424,8537,17961
DARWIN,2018,11,62541,64400,126941,8426,8618,17044
DARWIN,2018,12,59703,70480,130183,7985,13115,21100
DARWIN,2019,1,65415,56170,121585,13501,9880,23381
DARWIN,2019,2,51741,52055,103796,9136,6754,15890
DARWIN,2019,3,60587,59296,119883,7932,7402,15334
DARWIN,2019,4,73370,70662,144032,10018,10067,20085
DARWIN,2019,5,73588,71246,144834,10481,11013,21494
DARWIN,2019,6,83691,79376,163067,10830,12907,23737
DARWIN,2019,7,93885,97733,191618,14178,11800,25978
DARWIN,2019,8,85090,90369,175459,12323,12564,24887
DARWIN,2019,9,77127,78844,155971,11655,11409,23064
DARWIN,2019,10,74434,79762,154196,11996,9762,21758
DARWIN,2019,11,60776,63808,124584,9006,9238,18244
DARWIN,2019,12,60593,67842,128435,7543,14635,22178
DARWIN,2020,1,64657,56560,121217,15026,10712,25738
DARWIN,2020,2,48141,50081,98222,8685,5674,14359
DARWIN,2020,3,41355,39999,81354,4342,2910,7252
DARWIN,2020,4,3401,3309,6710,0,0,0
DARWIN,2020,5,3014,2736,5750,0,0,0
DARWIN,2020,6,6728,6568,13296,0,0,0
DARWIN,2020,7,14237,12332,26569,0,0,0
DARWIN,2020,8,19355,19061,38416,0,0,0
DARWIN,2020,9,25754,24295,50049,0,0,0
DARWIN,2020,10,31623,33532,65155,0,0,0
DARWIN,2020,11,31186,33267,64453,63,4,67
DARWIN,2020,12,38497,45294,83791,8,0,8
DARWIN,2021,1,40399,38445,78844,0,0,0
DARWIN,2021,2,27246,29308,56554,0,0,0
DARWIN,2021,3,41072,41479,82551,0,0,0
DARWIN,2021,4,58960,57078,116038,0,0,0
DARWIN,2021,5,64413,62995,127408,0,0,0
DARWIN,2021,6,59264,60502,119766,0,0,0
DARWIN,2021,7,45513,45924,91437,0,0,0
DARWIN,2021,8,38962,45706,84668,0,0,0
DARWIN,2021,9,47195,50023,97218,0,0,0
DARWIN,2021,10,44302,51407,95709,0,0,0
DARWIN,2021,11,27062,31216,58278,887,181,1068
DARWIN,2021,12,27859,36036,63895,1003,679,1682
DARWIN,2022,1,33550,27956,61506,1128,672,1800
DARWIN,2022,2,25989,27998,53987,1800,858,2658
DARWIN,2022,3,43814,44414,88228,2796,1979,4775
DARWIN,2022,4,69585,67980,137565,4633,4999,9632
DARWIN,2022,5,74594,70583,145177,5768,6601,12369
DARWIN,2022,6,87873,78844,166717,6072,7727,13799
DARWIN,2022,7,93673,97593,191266,8642,7711,16353
DARWIN,2022,8,77807,83209,161016,7483,6757,14240
